Player,Bianco Hills,,,,,,,,,,,,,,,,Ricco Harbor,,,,,,,,,,,,,Gelato Beach / Mamma Beach,,,,,,,,,,,,,,Pinna Park,,,,,,,,,,,,,,,Sirena Beach,,,,,,,,,,,,,,,Noki Bay / Mare Bay,,,,,,,,,,,,,Pianta Village / Monte Village,,,,,,,,,,,,,Delfino Plaza,,,,,,,,,,,,,,,,,,,
,Ep. 1,Ep. 2,Ep. 3,,Ep. 4,Ep. 5,Ep. 6,,Ep. 7,Ep. 8,Ep. 3 Reds,,Ep. 6 Reds,,100 Coins,,Ep. 1,Ep. 2,Ep. 3,Ep. 4,,Ep. 5,Ep. 6,,Ep. 7,Ep. 8,Hidden 2,100 Coins,,Ep. 1,,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Hidden 1,Hidden 2,,100 Coins,,Ep. 1,Ep. 2,,Ep. 3,Ep. 4,Ep. 5,Ep. 6,,,Ep. 7,Ep. 8,Hidden 1,Hidden 2,100 Coins,,Ep. 1,Ep. 2,,Ep. 3,Ep. 4,,Ep. 5,Ep. 6,,Ep. 7,Ep. 8,Hidden 1,Hidden 2,100 Coins,,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,,Ep. 7,Ep. 8,Hidden 1,Hidden 2,100 Coins,,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,,Ep. 6,Ep. 7,Ep. 8,Hidden 1,Hidden 2,100 Coins,,Airstrip,Airstrip Reds,,Beach Shine,Box Game 1,Box Game 2,Box Game 3,Corona Mountain,Chuckster,Gelato Pipe,Gold Bird,Grass Pipe,Jail Secret,Left Bell,Underbell,Light- house,Lilypad,Pachinko,Right Bell,Shine Gate
,,,Full Level,Secret Only,,,Full Level,Secret Only,,,Any Nozzle,Hover Only,Any Nozzle,Hover Only,,,,,,Full Level,Secret Only,,Any Strat,RTA Only,,,,,,Full Level,Secret Only,,,,,,,,,Any Nozzle,Hover Only,,,,Full Level,Secret Only,,,,Full Level,Secret Only,EYG,,,,,,,,Full Level,Secret Only,,Full Level,Secret Only,,US/PAL,JP Only,,,,,,,,,,,,Full Level,Secret Only,,,,,,,,,,,Full Level,Secret Only,,,,,,,,,Any Strat,RTA,,,,,,,,,,,,,,,,,
Kaffelon,,1:19.84,37.78,13.83,42.83,,1:12.25,40.00,,,44.13,,,,,,50.06,,,46.26,30.28,,,1:33.18,,,,,,,,,,,,,,30.26,,42.96,,,,,,,34.52,54.54,,,28.18,1:27.53,,,,,,,1:44.92,56.78,,,,,,,,,4:26.17,,,,,54.17,28.79,47.09,,,53.85,30.55,,,,,,,,,32.68,,,,2:15.32,,,,,,,,,,,,,,,,,,,,,,,,,,
LuMardy,,,38.76,13.92,42.80,,,40.29,,,,,,,,,,16.81,14.30,46.20,29.99,57.31,,,,,,,,,,,,,,,,27.46,,,,,,,,28.75,34.49,,,,28.78,,,,,,,,,,35.49,,,,,2:33.51,,,,,,,,55.54,28.89,,,,54.11,29.91,,,,,,,,,30.31,,55.99,31.46,2:18.16,19:07,,,,,,,,,,,,,,,,,,,,,,,,,
HowToCantaloupe,53.26,1:25.27,39.43,14.03,45.77,2:20.31,1:15.22,41.05,16.14,,,,,,,,56.56,18.31,16.74,48.05,30.71,57.20,,1:33.01,16.86,,,,,,,,,,,,19.77,33.22,,,,,,,44.39,28.84,39.00,56.84,,,28.15,1:30.37,13.50,,,,,,1:30.63,,35.52,28.13,58.41,21.54,,,,,,,,,,1:00.59,29.92,49.28,,,58.95,31.48,,,,,,,47.20,,33.29,46.70,1:01.17,28.17,2:12.25,19.24,,,,,,,,,,,,,1:24.47,,,,,,,,,,,,
Pogonateur,55.63,1:24.49,38.95,14.17,46.83,2:32.21,1:13.28,39.09,16.07,1:11.92,,34.58,50.33,,3:11.18,,55.19,17.98,16:47,46.95,31.59,59.68,1:32.58,1:32.58,15.93,57.00,53.17,2:35.14,,50.49,20.81,1:58.91,1:18.22,1:13.03,14.28,1:35.41,19.84,30.53,35.02,,37.18,3:20.53,,1:04.07,44.55,29.10,41.89,57.48,53.08,1:01.79,28.52,1:29.95,13.21,2:02.40,35.32,1:25.30,2:00.03,,2:03.45,54.75,36.95,28.34,55.24,24:14,2:38.18,2:13.19,:(,11.22*,4:15.36,1:04.75,40.69,3:26.58,,1:03.79,32.36,50.99,1:55.43,14.78,1:04.56,31.72,16:39,1:25.04,44.07,1:03.91,2:11.62,,48.67,24.25,32.15,48.91,1:05.91,34.33,2:09.52,19.01,1:48.10,54.97,44.51,1:59.77,,,1:25.34,1:25.34,25.18,19.23,18.09,17.09,1:31.41,14.93,16.35,37.55,1:10.09,25.71,35.99,7.73,29.86,38.33,30.28,26.08,29.35
SidedWilliams,,,,,43.77,,,40.32,16.02,59.22,,,,,2:12.53,,53.31,,14.70,,,,,,,,,2:04.36,,,19.72,1:44.25,,,,53.22,,,,,,2:24.34,,,,,41.29,,41.22,,,,,,42.26,,1:27.67,,,54.29,35.49,,,,,,,,,,,,,55.51,29.64,42.15,1:37.16,,,31.05,,1:12.35,30.19,1:10.66,1:37.68,,,,30.28,,,,2:13.92,,1:19.71,,33.22,1:25.85,,,,,,22.83,,,,,,33.49,49.81,,,,27.79,,25.85,,
TheCeddyWithin,54.95,1:22.43,39.91,14.09,43.41,2:35.35,1:14.11,41.53,16.04,,,,,,,,54.39,18.55,14.73,49.68,31.39,,,,15.30,,,,,,,,,,,,18.67,28.79,,,,,,,44.31,,41.02,55:81,,,28.45,1:36.62,,,,,,,1:45.52,58.47,36.46,27.42,,24.77,,,,,,,,,,55.89,30.52,,1:38.08,,57.55,31.15,15.59,,,1:10.19,,,47.94,13.98,31.35,,,30.69,2:10.88,18.74,,,,,,,,,,,,,,,,,,,,,,,,,
Dobby,,1:22.67,,13.86,43.26,,,39.05,,,,,,,,,,,,,30.25,,,,,,,,,,,,,,,,,,,,,,,,,,36.39,53.49,,,27.82,1:20.58,,,,,,,,,34.65,,,21.04,,2:32.77,,,,,,,,54.04,28.46,,,,,30.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebuladiv,52.49,1:20.89,38.45,14.07,43.69,2:30.57,1:11.01,39.96,16.03,59.55,,38.15,1:01.71,50.14,2:12.15,,,,14.76,,,,,,,49.03,1:00.01,2:04.21,,,,,,54.94,,57.00,,,31.39,,41.52,2:30.90,,,,,39.03,,,,28.15,1:22.96,,,42.09,,1:27.47,,,,,24.53,,,,,,,4:21.67,,,2:12.90,,55.65,,,,,54.09,,,1:14.81,31.12,1:08.62,1:47.26,,,,,,,28.34,,,1:26.01,,41.14,1:30.87,,,,,,,,,1:17.59,11.91,,33.92,,,,,,,,,25.35
Kwaniza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rimato13,,,,13.97,42.73,,,,16.06,,,,,,,,,,14.80,45.95,,,,,,,,,,,,,,,,,18.54,30.45,,,,,,49.51,,28.98,39.88,54.51,,,28.26,,13.20,,,,,,,,,,,,,,2:24.10,,,1:10.12,,2:23.81,,54.35,28.56,46.12,,,54.36,,,,,,1:44.39,,45.50,,29.92,46.00,,,2:16.86,,,,40.76,,,,,,,,,,,,,,,,,,,,,,
